TUCASEID,TEIO1ICD,TEIO1OCD,TRDTIND1,TRDTOCC1
20140101140854,-1,-1,-1,-1
20140101141449,4970,4720,22,16
20140101141837,-1,-1,-1,-1
20140101142036,-1,-1,-1,-1
20140101142236,-1,-1,-1,-1
20140111130521,7860,1820,40,5
20140111130618,7870,2200,40,8
20140111130862,-1,-1,-1,-1
20140111130921,7860,2540,40,8
20140111131015,-1,-1,-1,-1
20140111131419,8680,4110,46,13
20140111131573,-1,-1,-1,-1
20140111131652,7870,4640,40,15
20140111132091,-1,-1,-1,-1
20140112130105,8290,740,42,2
20140112130148,8660,4120,45,13
20140112130665,-1,-1,-1,-1
20140112130799,-1,-1,-1,-1
20140112130948,9480,4610,51,15
20140112131381,-1,-1,-1,-1
20140112131464,-1,-1,-1,-1
20140112131514,4970,4720,22,16
20140112131735,-1,-1,-1,-1
20140112131923,2070,7700,18,21
20140112131976,-1,-1,-1,-1
20140112132092,8190,5600,41,17
20140112132119,-1,-1,-1,-1
20140112132157,-1,-1,-1,-1
20140112132162,-1,-1,-1,-1
20140112132175,4970,4700,22,16
20140112132177,8680,4110,46,13
20140112132268,-1,-1,-1,-1
20140201140118,-1,-1,-1,-1
20140201140555,-1,-1,-1,-1
20140201140578,-1,-1,-1,-1
20140201140810,-1,-1,-1,-1
20140201141119,7870,2200,40,8
20140201141154,5570,4760,22,16
20140201141239,8790,7010,47,20
20140201141294,-1,-1,-1,-1
20140201141455,5170,4760,22,16
20140201141520,7480,3420,36,10
20140201141650,7870,4650,40,15
20140201141664,-1,-1,-1,-1
20140201141725,8680,4110,46,13
20140201141836,-1,-1,-1,-1
20140201141853,-1,-1,-1,-1
20140201141873,-1,-1,-1,-1
20140201142034,7870,2200,40,8
20140201142045,-1,-1,-1,-1
20140201142190,-1,-1,-1,-1
20140201142231,7870,2200,40,8
20140201142233,-1,-1,-1,-1
20140201142307,7990,5400,42,17
20140201142366,-1,-1,-1,-1
20140202141319,8590,4620,44,15
20140202141413,-1,-1,-1,-1
20140202141586,-1,-1,-1,-1
20140202142028,9470,650,51,2
20140202142044,8570,7750,44,21
20140202142087,3990,7750,13,21
20140202142368,6380,8965,23,21
20140211132269,-1,-1,-1,-1
20140212131502,9290,4600,50,15
20140212131608,8680,4720,46,16
20140212131955,-1,-1,-1,-1
20140301140010,770,6230,4,19
20140301140586,490,1500,3,4
20140301141095,-1,-1,-1,-1
20140301141423,5275,4760,22,16
20140301141427,-1,-1,-1,-1
20140301141982,-1,-1,-1,-1
20140301141990,-1,-1,-1,-1
20140301141995,8680,4010,46,13
20140301142232,8370,2000,43,6
20140302140037,-1,-1,-1,-1
20140302140074,-1,-1,-1,-1
20140302140162,-1,-1,-1,-1
20140302140525,6670,1030,27,3
20140302140665,-1,-1,-1,-1
20140302140963,-1,-1,-1,-1
20140302141070,7070,10,34,1
20140302141105,6870,910,32,2
20140302141174,7860,2310,40,8
20140302141207,7380,430,36,1
20140302141304,6170,9620,23,22
20140302141309,-1,-1,-1,-1
20140302141800,-1,-1,-1,-1
20140302142466,4970,4700,22,16
20140303140743,-1,-1,-1,-1
20140303141037,7860,3955,40,12
20140303141163,7870,2200,40,8
20140303142509,-1,-1,-1,-1
20140312131016,-1,-1,-1,-1
20140312131153,8190,1650,41,5
20140402141086,4970,4700,22,16
20140402141131,-1,-1,-1,-1
20140402141974,8470,4600,43,15
20140402141997,-1,-1,-1,-1
20140402142301,290,4340,1,15
20140402142329,-1,-1,-1,-1
20140403140543,-1,-1,-1,-1
20140403140942,-1,-1,-1,-1
20140403140970,8090,3255,42,10
20140403141169,7870,2200,40,8
20140403141209,-1,-1,-1,-1
20140403141373,8370,4610,43,15
20140403141415,8170,3600,42,11
20140403141734,-1,-1,-1,-1
20140403141759,-1,-1,-1,-1
20140403141859,8190,3255,41,10
20140403141863,8680,9130,46,22
20140403142063,-1,-1,-1,-1
20140403142064,8770,8740,47,21
20140403142172,7390,5240,36,17
20140403142193,7870,2200,40,8
20140403142259,8170,3600,42,11
20140403142299,7380,1050,36,3
20140403142474,8680,4720,46,16
20140404142175,7870,2200,40,8
20140503141332,-1,-1,-1,-1
20140503141563,8590,3955,44,12
20140503142368,-1,-1,-1,-1
20140504140142,-1,-1,-1,-1
20140504140504,8190,4020,41,13
20140504140850,-1,-1,-1,-1
20140504141132,7070,4920,34,16
20140504141155,8090,4610,42,15
20140504141220,-1,-1,-1,-1
20140504141258,7870,5810,40,17
20140504141261,3590,800,10,2
20140504141403,7870,2200,40,8
20140504141448,8190,3300,41,10
20140504141455,-1,-1,-1,-1
20140504141511,7870,2200,40,8
