Date,Start time,End time,Duration,Project
3/9/16,12:00 AM,12:36 AM,0:36:00,Education
3/9/16,12:36 AM,12:44 AM,0:08:00,Personal Care
3/9/16,12:44 AM,1:34 AM,0:50:00,"Socializing, Relaxing, And Leisure"
3/9/16,1:34 AM,9:43 AM,8:09:00,Personal Care
3/9/16,9:43 AM,9:55 AM,0:12:00,Traveling
3/9/16,9:55 AM,10:05 AM,0:10:00,Eating And Drinking
3/9/16,10:05 AM,10:15 AM,0:10:00,"Socializing, Relaxing, And Leisure"
3/9/16,10:15 AM,10:50 AM,0:35:00,Education
3/9/16,10:50 AM,10:59 AM,0:09:00,Personal Care
3/9/16,10:59 AM,11:11 AM,0:12:00,Traveling
3/9/16,11:11 AM,11:20 AM,0:09:00,Eating And Drinking
3/9/16,11:20 AM,11:56 AM,0:36:00,"Socializing, Relaxing, And Leisure"
3/9/16,11:56 AM,12:35 PM,0:39:00,Education
3/9/16,12:35 PM,12:37 PM,0:02:00,Consumer Purchases
3/9/16,12:37 PM,12:52 PM,0:15:00,Education
3/9/16,12:52 PM,1:01 PM,0:09:00,Traveling
3/9/16,1:01 PM,1:50 PM,0:49:00,Education
3/9/16,1:50 PM,1:57 PM,0:07:00,Traveling
3/9/16,1:57 PM,2:15 PM,0:18:00,Consumer Purchases
3/9/16,2:15 PM,2:30 PM,0:15:00,Eating And Drinking
3/9/16,2:30 PM,2:54 PM,0:24:00,Education
3/9/16,2:54 PM,3:05 PM,0:11:00,Traveling
3/9/16,3:05 PM,3:39 PM,0:34:00,Education
3/9/16,3:39 PM,3:45 PM,0:06:00,Traveling
3/9/16,3:45 PM,4:16 PM,0:31:00,"Sports, Exercise And Recreation"
3/9/16,4:16 PM,4:40 PM,0:24:00,Traveling
3/9/16,4:40 PM,4:55 PM,0:15:00,Education
3/9/16,4:55 PM,5:57 PM,1:02:00,Education
3/9/16,5:56 PM,6:06 PM,0:10:00,Traveling
3/9/16,6:06 PM,7:15 PM,1:09:00,Education
3/9/16,7:15 PM,7:38 PM,0:23:00,Traveling
3/9/16,7:38 PM,8:14 PM,0:36:00,Eating And Drinking
3/9/16,8:14 PM,8:42 PM,0:28:00,Traveling
3/9/16,8:42 PM,9:05 PM,0:23:00,Education
3/9/16,9:05 PM,9:10 PM,0:05:00,Traveling
