TUSTOPTIME,TUTIER1CODE,TUACTDUR24,TUSTARTTIM,TUCUMDUR24
14:00,1,600,4:00,600
14:02,2,2,14:00,602
15:00,12,58,14:02,660
15:30,11,30,15:00,690
2:00,12,630,15:30,1320
13:00,1,120,2:00,1440
9:30,1,330,4:00,330
10:15,1,45,9:30,375
10:20,12,5,10:15,380
10:30,18,10,10:20,390
14:00,5,210,10:30,600
14:05,18,5,14:00,605
14:50,11,45,14:05,650
14:55,18,5,14:50,655
15:00,12,5,14:55,660
19:30,5,270,15:00,930
19:40,18,10,19:30,940
19:45,1,5,19:40,945
21:45,12,120,19:45,1065
23:15,6,90,21:45,1155
9:00,1,285,23:15,1440
10:00,1,360,4:00,360
10:30,1,30,10:00,390
11:15,18,45,10:30,435
12:15,14,60,11:15,495
12:35,18,20,12:15,515
13:35,6,60,12:35,575
15:05,11,90,13:35,665
16:05,12,60,15:05,725
17:35,1,90,16:05,815
18:05,18,30,17:35,845
19:30,14,85,18:05,930
20:30,18,60,19:30,990
21:30,11,60,20:30,1050
22:30,12,60,21:30,1110
2:00,6,210,22:30,1320
2:30,1,30,2:00,1350
9:00,1,90,2:30,1440
7:30,1,210,4:00,210
8:40,1,70,7:30,280
8:55,18,15,8:40,295
9:50,6,55,8:55,350
9:55,18,5,9:50,355
10:30,11,35,9:55,390
10:40,18,10,10:30,400
11:00,12,20,10:40,420
13:30,6,150,11:00,570
13:32,18,2,13:30,572
13:42,7,10,13:32,582
13:44,18,2,13:42,584
13:59,18,15,13:44,599
17:50,6,231,13:59,830
18:00,18,10,17:50,840
18:45,11,45,18:00,885
18:50,18,5,18:45,890
18:55,7,5,18:50,895
19:15,13,20,18:55,915
19:55,12,40,19:15,955
20:00,18,5,19:55,960
20:50,6,50,20:00,1010
21:05,18,15,20:50,1025
21:30,12,25,21:05,1050
23:30,6,120,21:30,1170
23:50,12,20,23:30,1190
2:30,6,160,23:50,1350
2:40,1,10,2:30,1360
7:50,1,80,2:40,1440
10:00,1,360,4:00,360
10:30,1,30,10:00,390
10:45,2,15,10:30,405
10:46,11,1,10:45,406
10:56,18,10,10:46,416
12:45,6,109,10:56,525
13:30,11,45,12:45,570
14:45,6,75,13:30,645
14:55,18,10,14:45,655
14:58,18,3,14:55,658
16:00,6,62,14:58,720
16:10,18,10,16:00,730
16:15,18,5,16:10,735
17:15,5,60,16:15,795
18:15,11,60,17:15,855
18:20,18,5,18:15,860
1:00,12,400,18:20,1260
1:05,18,5,1:00,1265
1:25,1,20,1:05,1285
10:00,1,155,1:25,1440
10:00,1,360,4:00,360
11:00,12,60,10:00,420
12:00,1,60,11:00,480
12:07,18,7,12:00,487
13:07,8,60,12:07,547
13:14,18,7,13:07,554
13:59,12,45,13:14,599
14:09,3,10,13:59,609
14:29,1,20,14:09,629
15:44,18,75,14:29,704
16:29,11,45,15:44,749
16:44,18,15,16:29,764
17:15,12,31,16:44,795
17:30,18,15,17:15,810
19:00,14,90,17:30,900
19:30,12,30,19:00,930
20:45,18,75,19:30,1005
21:25,3,40,20:45,1045
21:45,5,20,21:25,1065
22:15,2,30,21:45,1095
0:15,12,120,22:15,1215
9:45,1,225,0:15,1440
7:00,1,180,4:00,180
7:30,11,30,7:00,210
8:30,3,60,7:30,270
9:00,18,30,8:30,300
14:00,5,300,9:00,600
14:30,11,30,14:00,630
18:30,5,240,14:30,870
19:00,18,30,18:30,900
20:00,3,60,19:00,960
21:00,11,60,20:00,1020
23:00,12,120,21:00,1140
6:00,1,300,23:00,1440
6:00,1,120,4:00,120
6:30,1,30,6:00,150
7:00,50,30,6:30,180
7:05,18,5,7:00,185
7:07,7,2,7:05,187
7:15,18,8,7:07,195
9:15,6,120,7:15,315
10:15,6,60,9:15,375
14:15,6,240,10:15,615
16:00,6,105,14:15,720
17:00,6,60,16:00,780
17:05,18,5,17:00,785
18:05,2,60,17:05,845
18:20,11,15,18:05,860
21:30,12,190,18:20,1050
2:00,12,270,21:30,1320
2:10,18,10,2:00,1330
10:00,1,110,2:10,1440
8:00,1,240,4:00,240
8:45,2,45,8:00,285
9:05,11,20,8:45,305
10:05,12,60,9:05,365
10:20,18,15,10:05,380
11:20,7,60,10:20,440
11:30,18,10,11:20,450
12:30,11,60,11:30,510
12:45,18,15,12:30,525
14:15,1,90,12:45,615
14:45,2,30,14:15,645
15:45,2,60,14:45,705
16:00,2,15,15:45,720
16:30,11,30,16:00,750
18:30,12,120,16:30,870
19:30,3,60,18:30,930
20:00,12,30,19:30,960
20:30,3,30,20:00,990
20:45,3,15,20:30,1005
21:05,3,20,20:45,1025
21:15,1,10,21:05,1035
7:30,1,405,21:15,1440
9:00,1,300,4:00,300
10:00,1,60,9:00,360
10:15,11,15,10:00,375
